nameE,nameJ,kind,cost,isLife,back,text,deck
BULLET,弾丸,WEAPON CARD,1,,,【弾丸】,bullets
BULLET,弾丸,WEAPON CARD,1,,,【弾丸】,bullets
BULLET,弾丸,WEAPON CARD,1,,,【弾丸】,bullets
BULLET,弾丸,WEAPON CARD,1,,,【弾丸】,bullets
BULLET,弾丸,WEAPON CARD,1,,,【弾丸】,bullets
BULLET,弾丸,WEAPON CARD,1,,,【弾丸】,bullets
BULLET,弾丸,WEAPON CARD,1,,,【弾丸】,bullets
BULLET,弾丸,WEAPON CARD,1,,,【弾丸】,bullets
BULLET,弾丸,WEAPON CARD,1,,,【弾丸】,bullets
BULLET,弾丸,WEAPON CARD,1,,,【弾丸】,bullets
THE BOSS,ボスの座,BOSS CARD,(なし),,,ゲーム開始時に公開すればスタピになれる,bullets
The Don,死んだはずのボス,BOSS CARD,,,,[通称:THE BOSS] 【制限1】【公開1】場のカードを1枚誰かに渡す,noHands
D6,6面ダイス,CONTRABAND CARD,2,,,【公開0】D6を振り、1なら手札を全て捨てる。そうでないなら山札からカードを1枚ドローする。,
PROCAINE HYDROCHLORIDE,プロカイン酸塩酸,CONTRABAND CARD,2,,,【身代り】【犯行】する / 【犯行】あなたは【LIFE】を捨てなくて良い。あなたのターンの終了時に死亡する。,
CIGAR,タバコ,CONTRABAND CARD,1,,,【摘発対象】【制限1】【公開1】となりの人の許可が得られれば1ドロー,
PORNO,ポルノ,CONTRABAND CARD,2,,PORNO,【摘発対象】【制限1】【公開1】MONEY2枚を拾う、手に入れたターンは使用できない,
DRAG,ドラッグ,CONTRABAND CARD,2,,,【摘発対象】【犯行1】【犯歴】行動回数が1増え、あなたの【LIFE】は【摘発対象】になる,
ALCOHOL,密造酒,CONTRABAND CARD,1,,,【摘発対象】【対応】【使い捨て】誰かの取引を止め、その後もターン中は取引ができなくなる。対象は【身代わり】を捨てる事によりこのカードを無効化できる。,
DUMDUM BULLET,ダムダム弾,CONTRABAND CARD,1,,,【摘発対象】【弾丸】相手の手札が10枚以上なら追加で[捨札2],
DUMDUM BULLET,ダムダム弾,CONTRABAND CARD,1,,,【摘発対象】【弾丸】相手の手札が10枚以上なら追加で[捨札2],
